Total On Time,Total Processing Time,Total Cycles,Last Proc Time,Total Laser Time,X Travel (m),Y Travel (m)
1530:35:30,308:26:49,8920,0:02:10:239,230:01:10,63290,17433
1530:36:00,308:26:49,8920,0:02:10:239,230:01:10,63290,17433
1530:36:30,308:26:49,8920,0:02:10:239,230:01:10,63290,17433
1530:38:00,308:26:49,8920,0:02:10:239,230:01:10,63290,17433
1530:41:00,308:26:49,8920,0:02:10:239,230:01:10,63290,17433
1530:43:30,308:26:49,8920,0:02:10:239,230:01:10,63290,17433
1530:47:00,308:26:49,8920,0:02:10:239,230:01:10,63290,17433
1530:50:30,308:26:49,8920,0:02:10:239,230:01:10,63290,17433
1530:50:30,308:26:49,8920,0:02:10:239,230:01:10,63290,17433
1530:59:30,308:26:49,8920,0:02:10:239,230:01:10,63290,17433
,,,,,,
1531:00:00,308:26:49,8920,0:02:10:239,230:01:10,63290,17433
1531:01:00,308:26:49,8920,0:02:10:239,230:01:10,63290,17433
1531:02:30,308:26:52,8921,0:00:03:631,230:01:12,63290,17433
,,,,,,
,,,,,,
1533:05:00,309:00:16,8927,0:03:48:279,230:13:22,63508,17488
1535:52:30,309:42:07,8951,0:20:11:187,230:41:18,63658,17590
,,,,,,
,,,,,,
,,,,,,
1537:03:00,309:56:00,8960,0:07:18:71,230:52:43,63722,17614
,,,,,,
,,,,,,
1537:38:30,310:00:55,8965,0:01:24:549,230:55:15,63771,17615
